WATERTEMP,AIRTEMP,FLOW,PRECIP,CLOUD,SUNSHINE,WIND
19.9,0.456066239051335,-0.679832569645327,-0.326534804423697,-0.494619286517212,1.67927644466231,-0.221072623575952
21,0.701014344046579,-0.69719040270574,0.299119828822149,0.727832749982738,-0.287792405125419,-0.221072623575952
19.8,0.366994200871246,-0.695020673573189,4.99152957816599,0.483342342682748,-0.557253891397711,-0.221072623575952
20.5,0.819777061620031,-0.699360131838292,0.0801407071861031,0.238851935382758,-0.126115513362044,-0.221072623575952
20,0.366994200871246,-0.69719040270574,1.01862265705487,0.238851935382758,-0.368630851007107,-0.221072623575952
21.6,0.983075798283528,-0.72322715229636,-0.326534804423697,-2.45054254491713,2.29903786308858,-0.221072623575952
22.6,1.23544657312711,-0.751433631019531,-0.326534804423697,-0.250128879217222,1.32897651250833,-0.221072623575952
21.4,0.908849099800121,-0.792658484538012,-0.326534804423697,0.727832749982738,-0.934499972178919,-0.221072623575952
21.1,0.90142642995178,-0.820864963261184,0.392968023809026,-0.250128879217222,0.790053539963748,-0.221072623575952
21.6,0.908849099800121,-0.801337401068219,-0.170121146112235,-1.22809050841718,0.816999688590977,-0.221072623575952
22.6,1.23544657312711,-0.810016317598425,-0.326534804423697,-0.00563847191723209,0.38586131055531,-0.221072623575952
23,1.27255992236882,-0.818695234128632,-0.326534804423697,-1.22809050841718,1.08646117486327,-0.221072623575952
23.8,1.7253427831176,-0.833883338056493,-0.326534804423697,0.483342342682748,0.70921509408206,-0.221072623575952
22.2,0.775241042529987,-0.85558062938201,0.549381682120488,0.483342342682748,-0.961446120806148,-0.221072623575952
22.6,1.07214783646362,-0.788319026272909,-0.326534804423697,0.238851935382758,0.870891985845435,-0.221072623575952
22.8,0.945962449041824,-0.727566610561463,-0.326534804423697,-3.1840137668171,2.16430711995243,-0.221072623575952
21.3,1.02761181737357,-0.812186046730977,-0.326534804423697,-2.45054254491713,2.02957637681629,-0.221072623575952
22,1.23544657312711,-0.831713608923941,-0.326534804423697,-3.1840137668171,2.08346867407075,-0.221072623575952
22.8,1.07214783646362,-0.846901712851803,-0.326534804423697,-0.983600101117192,0.897838134472664,-0.221072623575952
22.9,0.908849099800121,-0.857750358514561,-0.326534804423697,-0.494619286517212,1.65233029603508,-0.221072623575952
21.9,0.248231483297794,-0.85558062938201,-0.170121146112235,1.7057943791827,-1.60815368785965,-0.221072623575952
20.6,0.41153021996129,-0.866429275044768,-0.326534804423697,1.46130397188271,-1.50036909335073,-0.221072623575952
20.2,0.448643569202994,-0.862089816779664,0.611947145445072,-0.494619286517212,0.466699756436998,-0.221072623575952
20.5,0.20369546420775,-0.866429275044768,-0.326534804423697,-0.250128879217222,-0.638092337279398,-0.221072623575952
19.1,0.285344832539498,-0.866429275044768,-0.326534804423697,-2.45054254491713,1.70622259328954,-0.221072623575952
19.1,0.404107550112949,-0.872938462442423,-0.326534804423697,-3.1840137668171,2.00263022818906,-0.221072623575952
19.6,0.611942305866491,-0.879447649840078,-0.326534804423697,-2.93952335951711,2.00263022818906,-0.221072623575952
20,0.782663712378328,-0.883787108105181,-0.326534804423697,-0.983600101117192,1.32897651250833,-0.221072623575952
19.5,0.366994200871246,-0.868599004177319,-0.23268660943682,-0.00563847191723209,-0.153061661989273,-0.221072623575952
21.6,1.48039467812236,-0.859920087647112,-0.326534804423697,-2.45054254491713,1.08646117486327,-0.221072623575952
21.8,0.864313080710076,-0.853410900249458,-0.326534804423697,-2.69503295221712,1.81400718779846,-0.221072623575952
18.8,0.908849099800121,-0.836053067189045,-0.326534804423697,1.21681356458272,-0.880607674924461,-0.221072623575952
17.9,0.159159445117705,-0.818695234128632,-0.326534804423697,0.972323157282728,-0.314738553752648,-0.221072623575952
